1600,2000,7500,18800,21100,28500,29500,31800,34400,39800,45900,53400,61700,65000,70900
0.5,0.5,0.5,0.625,0.5,0.5,0.5,0.5,0.5,0.625,2.25,0.5,0.75,0.625,0.625
