300,5300,6200,6800,7100,10600,13300,15700,17000,18700,21100,40900,42100,52600,53000,61500,64600
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.75,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5
