1800,7700,16600,17600,18400,21200,26400,30900,40800,41400,45800,47400,50400,54100,63500,64600
0.5,0.625,0.75,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5
