600,900,2000,3300,15600,17500,21700,38500,43600,44600,45300,48900,57500,60900,63800,70900,71500
0.625,0.625,0.625,0.5,0.875,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.625,0.5,0.5,1,0.625
